<document>
<entity levels="3">
0_0	0_1	0_2	0_3	0_4	0_5	0_6	0_7	0_8	0_9	0_10	0_11	0_12	0_13	0_14	0_15	0_16	0_17	0_18	0_19	0_20	0_21	0_22	0_23	0_24	0_25	0_26	0_27	0_28	0_29	0_30	0_31	0_32	0_33	0_34	0_35	0_36	0_37	0_38	0_39	0_40	0_41	0_42	0_43	0_44	0_45	0_46	0_47	0_48	0_49	0_50	0_51	0_52	0_53	0_54	0_55	0_56	0_57	0_58	0_59
1_0	1_1	1_2	1_3	1_4	1_5	1_6	1_7	1_8	1_9	1_10	1_11	1_12	1_13	1_14	1_15	1_16	1_17	1_18	1_19	1_20	1_21	1_22	1_23	1_24	1_25	1_26	1_27	1_28	1_29	1_30	1_31	1_32	1_33	1_34	1_35	1_36	1_37	1_38	1_39	1_40	1_41	1_42	1_43	1_44	1_45	1_46	1_47	1_48	1_49	1_50	1_51	1_52	1_53	1_54	1_55	1_56	1_57	1_58	1_59
2_0	2_1	2_2	2_3	2_4	2_5	2_6	2_7	2_8	2_9	2_10	2_11	2_12	2_13	2_14	2_15	2_16	2_17	2_18	2_19	2_20	2_21	2_22	2_23	2_24	2_25	2_26	2_27	2_28	2_29	2_30	2_31	2_32	2_33	2_34	2_35	2_36	2_37	2_38	2_39	2_40	2_41	2_42	2_43	2_44	2_45	2_46	2_47	2_48	2_49	2_50	2_51	2_52	2_53	2_54	2_55	2_56	2_57	2_58	2_59
</entity>
<matrix matrixLevel="0 0">
0.0	-22.599318	-25.16182	0.5429287	-15.440677	-9.211082	-20.031582	-11.374702	-19.253174	-16.522554	-5.507435	-21.78963	-19.537529	-22.414474	-16.188175	12.354416	7.4322867	-13.007387	13.937703	-10.655616	-25.722961	-31.883947	1.9804335	12.05959	15.776761	-20.073296	10.515377	32.050148	-24.76041	-15.144608	25.621925	-10.118773	-18.717667	-31.78109	29.242043	8.421621	-17.313608	-15.74293	-13.77523	25.928253	1.7863388	-9.7343235	-12.899818	13.458388	-6.370364	-15.857806	-12.351789	5.281992	-5.5861063	25.611172	21.234549	-22.139942	31.486895	27.883566	12.698874	-22.87569	-11.835094	-23.382067	-17.710814	38.4367
-22.599318	0.0	29.42728	27.028141	-16.63782	-27.246704	14.936784	13.711059	20.605087	9.954271	21.831493	20.421558	32.53279	13.693281	21.51715	-8.213972	0.61247253	-30.116947	-10.04887	16.746872	13.97616	4.7298155	-19.276878	-14.290064	-20.911936	-16.583958	-33.20625	-29.167381	-11.26688	11.871992	-10.173267	-28.736591	20.513233	33.894123	3.3127956	-23.983406	8.803565	-5.582878	-0.16905594	-17.672375	28.792912	15.518086	17.749828	-6.8153954	-25.719284	2.8247871	2.5385237	-2.9811726	30.98677	-18.631529	-13.091688	11.915023	-15.407343	-24.331879	-16.9016	6.8728	1.5075302	-28.380764	-14.769947	-15.6388
-25.16182	29.42728	0.0	6.49485	-6.7342396	-15.863532	33.781624	20.46437	27.573374	11.11602	11.360395	35.17843	7.569392	13.3445635	12.566351	-23.720009	-17.445353	-14.4011345	-13.788358	23.890179	23.6142	27.004976	-9.340038	-18.939533	12.121452	-10.08678	-13.344021	-10.391624	-0.08387756	12.638456	-18.362028	-12.922998	10.978908	19.215393	-17.465052	-4.457822	-4.925211	17.012953	4.829446	-18.084126	6.9304094	17.065947	1.6600122	-13.601346	-19.929699	5.7849483	23.427906	-19.353668	9.468046	-13.825765	-6.153919	21.629606	-4.1592407	-20.132162	-9.317972	17.615501	22.106228	-8.048969	-28.609312	-10.360449
0.5429287	27.028141	6.49485	0.0	-10.144268	-33.88527	32.743507	11.116772	6.1316004	0.28341293	25.62643	16.468908	9.096558	5.598446	4.67354	-15.379211	-17.556465	3.0063038	-8.638031	21.299107	11.295698	24.27273	-19.392303	-22.197575	-2.890153	-20.363949	-18.55644	-12.033627	-6.797001	0.48089027	-8.945893	-22.629242	14.138221	36.07418	-30.677017	-2.7125301	16.947918	19.170897	12.578295	-20.961304	12.2535515	19.498135	22.186283	0.01388073	-3.3329544	15.270468	15.659277	-12.873323	14.256843	-6.2271404	12.640791	20.034996	-9.118047	-20.896051	-11.102578	16.94858	24.231644	-13.415336	-20.445152	-1.7121105
-15.440677	-16.63782	-6.7342396	-10.144268	0.0	-24.703497	-19.962801	-15.543486	-6.1476097	-10.605573	-9.240438	-21.785252	-18.724955	-8.493503	-2.1717405	-15.160045	-7.6619577	8.503934	-14.015108	-11.928217	-6.4560747	-28.037954	-22.0238	-12.1355095	-17.390354	15.9415655	1.2381039	-11.69463	24.094353	-20.85775	-27.074463	3.7660751	-9.856951	-32.87661	-18.566269	-13.950218	-29.43185	-15.146805	-4.731619	-31.986347	-36.63919	-6.9147434	0.46262932	-29.851599	-16.497551	-3.9881144	-19.424345	-15.789395	-25.434067	-17.870066	-3.9489536	-1.220604	-10.38505	-15.8529625	-19.952572	-25.394173	-14.430657	5.7719917	24.38605	-10.072767
-9.211082	-27.246704	-15.863532	-33.88527	-24.703497	0.0	-18.158329	-21.516756	-7.505678	6.3223534	-18.849085	-6.307913	-12.1227455	-22.960554	-23.647392	-11.863741	-0.8515072	-11.131844	-11.74652	-15.661423	-15.132726	-19.530994	-12.497064	-4.2279444	-14.768364	6.918432	-5.3845005	-23.83014	-23.549215	-22.160122	-5.429984	-8.765768	-28.538086	-3.288042	-16.146078	1.797102	-17.94744	-1.4780254	-17.394035	-30.125982	-19.18168	-21.159367	-17.46807	-1.9241896	20.531464	-3.7428179	-15.879572	-27.096525	-17.391357	-31.001648	-5.294014	-23.614712	4.414551	-4.9683	-29.374937	-29.197096	-24.032482	-27.114689	7.9028606	0.6871834
